Unique_times,chat,
4:18:57,"[' GIT GUD', ' @H3ARTHST0N3R monkaW /']",
4:18:58,,' BabyRage BabyRage BabyRage'
4:18:59,,
4:19:00,,' RURURURURUURURUR'
4:19:01,"[' dogdogCozy dogdogCozy', ' Dogo Pog', ' !deck', "" Decklists for the Hearthstone Grandmasters can be found by clicking on the matchup you'd like to see the lists for here: https://bit.ly/2Xd54rt""]",
4:19:02,"[' dog shouldnt look bored to death', ' dogdogHypers dogdogHypers dogdogHypers', ' RURURURURURURURU', ' !bracket', ' drp plz', ' HSWP', ' The bracket can be found here: https://bit.ly/2Xd54rt', ' uther PogChamp', ' Frodan KappaPride']",
4:19:03,"[' DOGGERS POGGERS', ' D OMEGALUL G', ' lol', ' DOGG']",
4:19:04,"[' THE DOGGO', ' dogdogQ1 dogdogQ3 dogdogQ4 dogdogQ1']",
4:19:05,,' HSCheers HSCheers'
4:19:06,"[' NotLikeThisPurple NotLikeThis', ' woof woof', ' no ads pls', ' go dog OhMyDog']",
4:19:07,"[' pepeJAM', ' SPAM THIS TURTLE TO UNSCAMAZ PURPLE', ' dreadsHi @triheptyl', ' No lucky']",
4:19:08,"[' OhMyDog', ' ?', ' LUL', ' pepeD']",
4:19:09,"[' pepeD', ' Pog Spam Pog This Pog Pog To Pog Help Pog Dog Pog Pog', ' This paladin deck has a huge advantage over warriors', ' peepoHappy enabled peepoHappy', ' DONT JAM']",
4:19:10,"[' pepeD', ' pepeD', ' pepeJAM', ' pepeJAM', ' Wowee']",
4:19:11,"[' pepeJAM Clap', ' unmuted for Pog song', ' pepeJAM', ' SourPls', ' pog', ' pepeJAM', ' pepeD', ' pepeJAM', ' LETS GO EDDDIE', ' SourPls', ' pepeJAM', ' pepeJAM', ' pepeJAM finally']",
4:19:12,"[' DOG POG', ' pepeJAM', ' pepeJAM', ' pepeD pepeJAM', ' STOP JAMMING', ' pepeD']",
4:19:13,"[' pepeD pepeD pepeD', ' RURURURUU OhMyDog', ' PogChamp', ' pepeJAM', ' forsen next?', ' Pog', ' gj eddie', ' pepeJAM', ' pepeJAM', ' pepeJAM']",
4:19:14,"[' pepeJAM', ' PepeJam', ' pepeD', ' pepeJAM', ' JAM IT', ' pepeJAM', ' ????', ' Frodan Blue Hair May cast this tornement']",
4:19:15,"[' pepeD', ' DansGame', ' Dog alfieGasm', ' pepeJAM', ' pepeJam', ' pepeJAM', ' im out', ' pepeJAM', ' pepeD', ' pepeD', ' pepeJAM', ' pepeD']",
4:48:12,"[' monkaS', ' that turn was a mess', ' hoho']",
4:48:13,"[' 50% or no balls', ' BlessRNG']",
4:48:14,"[' do it', ' monkaS 50', ' monkaW']",
4:48:15,"[' monkaW', "" Decklists for the Hearthstone Grandmasters can be found by clicking on the matchup you'd like to see the lists for here: https://bit.ly/2Xd54rt"", ' LUL', ' go for the 50 50', ' flip a coin BrokeBack']",
4:48:16,"[' ho ho', ' 50%', ' monkaS', ' misslethal', ' 50/50 Pog', ' 50/50 EZ']",
4:48:17,"[' monkaW', ' 50/50 LETS GOOO', ' ESPORT Lethal PogChamp', ' moniaS Clap', ' 50/50 FeelsGoodMan Clap']",
4:48:18,,' 50/50'
4:48:19,"[' Letal Kappa', ' GOTTA DO IT PAL', ' forsenS', ' YOLO']",
4:48:20,"[' monkaW', ' BlessRNG', ' 50%', ' 51% lethal']",
4:48:21,"[' EZ 50/50', ' LETS GO', "" he'll go for 50%"", ' BlessRNG']",
4:48:22,"[' monkaW', ' BlessRNG', ' BOMB', '5050', ' NO BALLS', ' forsenBoys 🔭 forsen1 I C BAJS', ' monkaW', ' @4skin 3Head', ' LULW']",
4:48:23,"[' monkaS', ' GG', ' monkaW', ' monkaS', ' I’m eating a whole can of pringles Chat KKona', ' monkaS Clap', "" Dog's overdrawing"", ' How many cards was there?', ' BabyRage']",
4:48:24,"[' 50\\50', ' BlessRNG', ' BlessRNG']",
4:48:25,"[' coin flip EZ Clap', ' go', ' hs coin flip 4Head', ' 50-50 for the game', ' Coin stone', ' go go']",
4:48:26,"[' 50/50', ' lets goooooooooooooooo', ' 50/50!', ' 50 50 Kappa', ' Pog', ' monkaW', ' RNG', ' ESPORTS']",
4:48:27,"[' 50/50 FeelsGoodMan', ' heads or tails', ' 50/50 EZ', ' DICE ROLL ESPORT PogChamp', ' 50/50', ' coin flip for great justice']",
4:48:28,"[' DO IT OR NO BALLS', ' monkaW', ' HW', ' AY', ' all ends in a coinflip', ' PogChamp', ' RNGSTONE BlessRNG']",
4:48:29,"[' monkaS', ' Let’s go', ' gogogogogogog', ' pepeD', ' monkaW', ' monkaS']",
4:48:30,"[' GOING GOING', ' he can inc the chances with another shuffle', ' you gotta gamble', ' monkaW', ' GG']",
4:48:31,"[' ESPORTS FeelsGoodMan Clap', ' ESPORT', ' monkaS OMG', ' 50/50', ' THIS ART LULW', ' COIN FLIP BABY', ' monkaS', ' Brah', ' it all comes down to skill', ' HE FOUND LEATHALÖ']",
4:48:32,"[' 50/50', ' esport 50/50 win LUÖ', ' BlessRNG', ' BlessRNG is he skilled', ' 50/50 cybersport', ' LUL', ' FORSEN BAJS DansGame']",
4:48:33,"[' 50/50 danS', ' LETHAL', ' 50/50 esports LuL', ' YOLOOOOOOOOOOO', ' ajsCage', ' BlessRNG dog', ' LuL', ' Bless RNG', ' heads!']",
4:48:34,"[' What %?', ' ESPORTS LULW', ' leeroyyyyyyyyyyyyyyyyyy']",
4:48:35,"[' Kreygasm', ' NOOOOOOO', ' lul', ' Rngstone', ' E sports LUL', ' Pog']",
4:48:36,"[' LMFAO', ' LU&L', ' BlessRNG BlessRNG BlessRNG BlessRNG', ' PogChamp', ' 50 - 50', ' LULW', ' EZ']",
4:48:37,"[' TakeNRG', ' monkaS', '-25', ' LUL', ' EZ', ' POGGERS']",
4:48:38,"[' LUL', ' LULW', ' rng', ' gg', ' PogChamp PogChamp', ' LULW', ' wow lmaoooooooo', ' gooo Eddie!!!', ' PogChamp', ' 500/50!!']",
4:48:39,"[' 50/50', ' LUL', ' LETHAL', ' nice', ' ez', ' ez', '5050', ' SKILL Pog']",
4:48:40,"[' PROFESSIONAL COIN FLIPPER EZ', ' E', ' WOW', ' EZ', ' screen shot', ' ESPORTS', ' dogdogF', ' Pog', ' 50%', ' EZ', ' EZ', ' LUL', ' Squid1 OhMyDog Squid4 OWL2019gg', ' YEEEEES', ' SKILLSTONE LUL']",
4:48:41,"[' BlessRNG BlessRNG BlessRNG BlessRNG', ' DOG PepeHands', ' NOOO', ' EZ', ' ESPORTS Kreygasm', ' GGGGGGGGGGGGGGGGGGG', ' LUL', ' PURE SKILL', ' dog missed lethal', ' GG']",
4:48:42,"[' lit', ' SKILL', ' SPOILERS!', ' Pog', ' HAAHAAHAHA', ' EZ', ' EZ', ' feelsweirdchamp', ' PepeHands', ' LOL', ' LULW', ' coin toss', ' ESPORTS LULW', ' LUL', ' dog PepeHands']",
4:48:43,"[' POG', ' skill LUL', ' OUTSKILLED OMEGALUL', ' SKILL', ' haha', ' outplayed', ' ESPORTS', ' OMEGALUL']",
4:48:44,"[' tft player LUL', ' EZ', ' ESPORTS LULW', ' Pog', ' EZ', ' what a player', ' eSport', ' LAMOO', ' SKILL LUL', ' ez', ' LOL', ' RNG LUL', ' RNGSTONE', ' PepeLaugh TFT player loses', ' LUL']",
4:48:45,"[' SKILLED', ' LULW', ' SKILLS Pog', ' EZ Clap', ' LETS GOOOOOOOOOOOOOOO', ' Clap', ' lel.', ' NotLikeThis NotLikeThis', ' ResidentSleeper ResidentSleeper ResidentSleeper', ' 50/50']",
4:48:46,"[' EDDIE MA BOIIIII', ' Skill based game 4Head', ' ESPORTS', ' EZ LUL', '77777', ' EZ', ' F', ' PagChomp', ' That pally deck always comes down to a 50/50 LUL good deck', ' LUL']",
4:48:47,"[' ..............', ' EZ', ' skill deck', ' SKILL STONE', ' so skillful', ' peepoBlanket', ' PJSalt', ' ESPORT !!!', ' RNGSTONE', ' no skill', ' CASINO PALADIN OMEGALUL', ' LUL LUL', ' NotLikeThis', ' OMG', ' EZ']",
4:48:48,"[' OUTSKILLED Pog', ' SKILL', ' SKILL EZ', ' FeelsWeirdMan', ' LUL', ' LULW', ' NICE SKILL Keepo', ' 0 = = 25', ' get wrecked', ' EZ', ' SKill', ' EZ Clap', ' pro sports', ' SPOILER DansGame', ' LETS GO EDDIE']",
4:48:49,"[' f', ' Ha', ' LUL get rekt rogue LUL']",
4:48:50,"[' gg', ' ESPORTS', ' Skill PogChamp', ' t90Rigged t90Rigged t90Rigged', ' wow!', ' lol skilled', ' pro coin flipper LUL', ' Pog luck', ' SKILL', ' EZ', ' PepeHands', ' LUL', ' BibleThump BibleThump BibleThump']",
4:48:51,"[' ballsy', ' SKILL GAME LUL', ' SKILLL', ' Esports LUL', ' COINTOSS', ' majin4 majin5 majin6', ' skill', ' PogChamp Now PogChamp get PogChamp ready PogChamp to PogChamp help PogChamp Eddie', ' PagChomp', ' Coinflipstone LULW', ' SKILL !!!!', ' LULW', ' 50/50stone', ' DansGame esports', ' ESPORT OMEGALUL']",
4:48:52,"[' Coinflip championsen PogChamp', ' LUL', ' jenkins', ' paladin deathmatchPOG deathmatchPOG', ' SMOrc']",
4:48:53,"[' skillstone', ' PURE SKİLL', ' talk', ' WeirdChamp coin flip', ' this guy is good', ' KOBE LUL', ' HS18Zzz HS18Zzz HS18Zzz HS18Zzz HS18Zzz', ' Skill based card game EZ']",
4:48:54,"[' OMG!!!!!!', ' I hate that OTK', ' tossing coins Pog', ' EZ E Z S T O N E', ' ESPORTS', ' BrokeBack', ' LUL', ' wow', ' CAM SPOILER', ' nice the hs has zero rng Kappa', ' Hahahaha', ' PrideLionYay PrideLionYay PrideLionYay PrideLionYay', ' Ez', ' LUL LUL LUL', ' SKILLSTONE']",
4:48:55,"[' gg', ' licker', ' Lul', ' Skill LUL', ' RNGSTONE LUL', ' he so salty LUL', ' PogChamp', ' ez LUL', ' All skill', ' EZ EZ', ' PETAAA', ' yippie Edidie!', ' LOLOL', ' eSports', ' peepoBlanket']",
4:48:56,,' THIS GAME'
4:48:57,"[' EZ Clap', ' TFT player lose Kappa', ' dog BibleThump', ' gg nice play', ' nice spectator mode delay', ' ESPORTS', ' YOU SAW THAT SKILLFUL PLAY HERE ON THE OCHO ESPN 8', ' SKILLSTONE']",
5:06:12,"[' PepeLaugh dog fans', ' NotLikeThis', ' can he fill board']",
5:06:13,"[' eddie feels disrespectful tbh', ' PepeHands', ' HES JUST A TFT PLAYER OMEGALUL']",
5:06:14,"[' coxMistake coxMistake coxMistake NotLikeThis', ' lifedrinker should not work with immune enemy']",
5:06:15,,' PepeHands'
5:06:16,"[' rip dog', ' HS18Leeroy HS18Leeroy HS18Leeroy HS18Leeroy']",
5:06:17,"[' BM', ' BM', ' BM LUL', ' BM']",
5:06:18,"[' BM LUL', ' TFT player LULW', ' poor dog LUL', ' LULW', ' bm']",
5:06:19,"[' NA MATH LULW', ' BM D:']",
5:06:20,"[' nice', ' Dog BibleThump', ' bm lul', ' BM']",
5:06:21,"[' missed BM', ' BM haHAA', ' BM LULW', ' BM LUL', ' interactive funny', ' ResidentSleeper']",
5:06:22,"[' LUL', ' LUL', ' shark Leeroy synergy PogChamp', ' peepoBlanket', ' DOG PepeHands', ' BM LUL', ' bm']",
5:06:23,"[' TFT PLAYER OMEGALUL', ' Eddie so annoying', ' TFT LUL', ' BM', ' Get recked dog', ' it’s bad sportsmanship to concede during a tourney', ' HS ', ' BM', ' lol']",
5:06:24,"[' BM LUL', ' LULW', ' BM LUL']",
5:06:25,,' EZ LOSE EZ LUL LUL LUL'
5:06:26,"[' deciding what deck to bring is like 50%of the game', ' LULW BM THE TFT STREAMER', ' BM LULW', ' bm D:', ' BM LULW', ' D: 💨 bm']",
5:06:27,"[' SK(ILL', ' BM']",
5:06:28,"[' LUL', ' LUL LUL LUL LUL', ' miss BM', ' gg', ' LULW TFT PLAYERS']",
5:06:29,"[' bm LULW', ' LUL']",
5:06:30,"[' back to TfT', ' sad dog PepeHands']",
5:06:31,"[' BM', ' WOW', ' GOOOOOOOOOD', ' gg', ' back to TFT dog LUL', ' LUL']",
5:06:32,"[' BM REEEE', ' D:', ' PepeHands', ' BM dreadsD', ' BYE DOGGIE GET BMD']",
