,index,event,event_code,time,user,message,category,code,diff,group,parts
229,2760,match round two,9,[1:51:30] ,micksinjer,wtf,badp,7,1,13,a
230,2761,match round two,9,[1:51:37] ,megatonbeef,domadormilagroso develpopment just started so next gen,other,10,1,13,b
231,2762,match round two,9,[1:51:40] ,almightygod,bruh lee sin in a fighting game would be sick,game,9,1,13,b
232,2763,match round two,9,[1:51:41] ,zyxwhitewind,what ashe would be a zoner,question,8,1,13,b
233,2764,match round two,9,[1:51:46] ,micksinjer,damn that looks annoying,badp,7,1,13,b
234,2765,match round two,9,[1:51:47] ,lcspacely,i dont see the bundles is it because im on the west coast,game,9,1,13,b
235,2766,match round two,9,[1:51:47] ,cryojazz,why would ashe be a rushdown and not zoner,question,8,1,13,b
236,2767,match round two,9,[1:51:49] ,themegaguy,robot characters,cdesign,4,1,13,b
237,2768,match round two,9,[1:51:53] ,zyxwhitewind,bram is the grappler,cinfo,5,1,13,b
238,2769,match round two,9,[1:52:00] ,drarkain,i remember a fucking long time ago we talked about it i have an feeling that they will make an smash style fg,other,10,1,13,b
239,2770,match round two,9,[1:52:00] ,leafretv,rushdown with a bow,request,1,1,13,b
240,2771,match round two,9,[1:52:01] ,kiboshkaibutsu,probably do stun combos with tth fireball,request,1,1,13,b
241,2772,match round two,9,[1:52:02] ,ssjsoujiro,make new characters no no no better use assists that they have already imo,game,9,1,13,b
242,2773,match round two,9,[1:52:03] ,crypticrumpet,does lucia have a f or f,question,8,1,13,c
243,2774,match round two,9,[1:52:05] ,yamsandjams,lol wtf,badp,7,1,13,c
244,2775,match round two,9,[1:52:08] ,yamsandjams,gimme a break,badp,7,1,13,c
245,2776,match round two,9,[1:52:09] ,pipiripau,i was woundering i just got out of work but does anybody know if there was any announcements on a new update on the sf,game,9,1,13,c
246,2777,match round two,9,[1:52:10] ,almightygod,blizcrack would be a robot fighter,cinfo,5,1,13,c
247,2778,match round two,9,[1:52:10] ,eltaninz,almightygod personally i hope thats the case i really like lol characters but i could never dig the game itself,game,9,1,13,c
248,2779,match round two,9,[1:52:10] ,ensanesane,damn that slide is fast,goodp,6,1,13,c
249,2780,match round two,9,[1:52:11] ,serow,kof probably for both their financial report said they are planning for release,game,9,1,13,c
250,2781,match round two,9,[1:52:13] ,kumaoso,hahahah,goodp,6,1,13,c
251,2782,match round two,9,[1:52:13] ,poorygone,that fireball lmao,goodp,6,1,13,c
252,2783,match round two,9,[1:52:15] ,taken,xd,goodp,6,1,13,c
253,2847,match round two,9,[1:53:54] ,shinobiaj,ah yes tatsu the best move in the game,game,9,64,14,a
254,2848,match round two,9,[1:53:55] ,valeriobr,lucia soccer player,cinfo,5,1,14,a
255,2849,match round two,9,[1:53:58] ,ssjsoujiro,poor ryu,cinfo,5,1,14,a
256,2850,match round two,9,[1:53:59] ,ghostfromrdstrike,after sfxt im good off gens ghostfthinking,other,10,1,14,a
257,2851,match round two,9,[1:54:00] ,darnellplayer,lab it,goodp,6,1,14,a
258,2852,match round two,9,[1:54:04] ,vampirekoala,bully,game,9,1,14,a
259,2853,match round two,9,[1:54:04] ,chronodragon,ryu getting bullied head,cinfo,5,1,14,a
260,2854,match round two,9,[1:54:08] ,slooowdown,does the fireball build meter crazy like k,question,8,1,14,b
261,2855,match round two,9,[1:54:12] ,rorboy,shes a cawp,cinfo,5,1,14,b
262,2856,match round two,9,[1:54:15] ,drarkain,battlebrn yeah most of my friends that play moba only like smash the other fg they play mashing really hard haha,game,9,1,14,b
263,2857,match round two,9,[1:54:15] ,kiboshkaibutsu,httpsclipstwitchtvsleepybumblingnoodledogface,other,10,1,14,b
264,2858,match round two,9,[1:54:16] ,crypticrumpet,oh does she get like a cooldown on her fireball,question,8,1,14,b
265,2859,match round two,9,[1:54:22] ,someguyzero,id like to see how the fireball work against sagats fireball,request,1,1,14,b
266,2860,match round two,9,[1:54:23] ,josdean,lucia fireball reminds me rashids bullshit tornado,cdesign,4,1,14,b
267,2861,match round two,9,[1:54:26] ,blackcraftfgc,how can i get more fight money,question,8,1,14,c
268,2862,match round two,9,[1:54:27] ,bobdobbz,from bawston,other,10,1,14,c
269,2863,match round two,9,[1:54:36] ,bobdobbz,i love her accent,cdesign,4,1,14,c
270,2864,match round two,9,[1:54:37] ,afroshouji,and she has a good tatsu,cdesign,4,1,14,c
271,2865,match round two,9,[1:54:37] ,countmeowingtonn,i like how she tries to put the fire out on her foot after using fireballs,caction,3,1,14,c
272,2866,match round two,9,[1:54:42] ,kirb,riot game gonna have one for normals then buttons for special moves then one button for super move,game,9,1,14,c
273,2867,match round two,9,[1:54:42] ,battlebrn,theres lots of us who play mobas and fighting games but in general i doubt they care about them unless its smash,game,9,1,14,c
274,2915,match round two,9,[1:57:34] ,megatonbeef,did infexous sell his emotions for skills that man did not emote,game,9,48,15,a
275,2916,match round two,9,[1:57:37] ,horseapples,i hope the new gg has baiken from the start this time and not weird stupid characters like bedman,game,9,1,15,a
276,2917,match round two,9,[1:57:39] ,shawnu,you hated lucia how is she now,question,8,1,15,a
277,2918,match round two,9,[1:57:46] ,ghostfromrdstrike,between now and my bank account is fucked,other,10,1,15,a
278,2919,match round two,9,[1:57:47] ,serow,black dudes with dreadlocks lol,cdesign,4,1,15,a
