index,event,event_code,time,user,message,category,code,diff
4840,match round one,8,[3:34:27] ,robzoobie,is her dp fireball invincible,question,8,79
4841,match round one,8,[3:34:30] ,torasamu,ibuki,other,10,1
4842,match round one,8,[3:34:33] ,ustinodj,holy fucking damage,goodp,6,1
4843,match round one,8,[3:34:36] ,torasamu,did we talk about bonchan show,other,10,1
4844,match round one,8,[3:34:39] ,cycodamo,poor ryu lmao,cinfo,5,1
4845,match round one,8,[3:34:50] ,zyxwhitewind,okie,other,10,1
4846,match round one,8,[3:34:50] ,nightbot,okizamboney is a term used in fighting games to generally describe your wake up game to be more specific this is when players professionals mostly will set alarms to randomly wake up at odd hours of the night to play a match online before going back to sleep the idea is to make yourself better while mentally exhausted since tournaments can last as long as hours without time for rest tsuchinokodemon,game,9,1
4847,match round one,8,[3:34:58] ,nurselee,i cant because i dont have enough fight money lol,game,9,1
4848,match round one,8,[3:35:02] ,ghostfromrdstrike,this man jumps good reoboon,caction,3,1
4872,match round one,8,[3:36:38] ,torasamu,cawfeeeeeeeeeeeeeeeeeeeeeeee,other,10,24
4873,match round one,8,[3:36:41] ,machriphi,akudesyn yes bundle is out,game,9,1
4874,match round one,8,[3:36:41] ,youngj,that man dpd with all his hear and soul,comment,2,1
4875,match round one,8,[3:36:47] ,youngj,heart,request,1,1
4876,match round one,8,[3:36:55] ,clamantjtv,is it me or is she basically female ken,question,8,1
4877,match round one,8,[3:37:04] ,akudesyn,machriphi great thanks bro,other,10,1
4878,match round one,8,[3:37:05] ,shinzo,when you play rushdown and your opponent walkes themselves into the corner,question,8,1
4879,match round one,8,[3:37:07] ,ghostfromrdstrike,he had to go grab his food reoboon,other,10,1
4880,match round one,8,[3:37:11] ,machriphi,clamantjtv shes lucia from final fight which came out in,cinfo,5,1
4881,match round one,8,[3:37:14] ,umotame,nice mixup,goodp,6,1
4882,match round one,8,[3:37:23] ,themegaguy,heading off to bed good night guys vesperpalm,other,10,1
4985,match round one,8,[3:46:20] ,andersandman,character,cinfo,5,103
4986,match round one,8,[3:46:24] ,prothype,n,other,10,1
4987,match round one,8,[3:46:26] ,jabmasher,vanillarune its mostly act hes a good person,other,10,1
4988,match round one,8,[3:46:33] ,rashidoo,forgib me,other,10,1
4989,match round one,8,[3:46:35] ,aitcho,zangief cheating he starts with a foot over the line smg,other,10,1
4990,match round one,8,[3:46:37] ,rashidoo,for i have sinnd,other,10,1
4991,match round one,8,[3:46:37] ,aitcho,smh,other,10,1
4992,match round one,8,[3:46:39] ,kiboshkaibutsu,her trig seems interesting,cdesign,4,1
4993,match round one,8,[3:46:43] ,prothype,she needs to be nerfed lol,cinfo,5,1
